VGS_V,IDS_Tj_-55C_A,IDS_Tj_25C_A,IDS_Tj_150C_A
0,,,
0.1,,,
0.2,,,
0.3,,,
0.4,,,
0.5,,,
0.6,,,
0.7,,,
0.8,,,
0.9,,,
1,,,
1.1,,,
1.2,,,
1.3,,,
1.4,,,
1.5,,,
1.6,,,
1.7,,,
1.8,,,
1.9,0.0020576579,0.0012006386,0.0039594474
2,0.0024376177,0.0040547822,0.015385755
2.1,0.0019399273,0.0043358639,0.024169892
2.2,0.00051154569,0.0018046215,0.030052856
2.3,0.0039208765,0.0040240174,0.040896033
2.4,0.010619183,0.0099739145,0.056706199
2.5,0.010600759,0.013730914,0.0783532
2.6,0.007196232,0.017102637,0.1070413
2.7,0.0066290136,0.023320221,0.14637306
2.8,0.0064471309,0.03174125,0.19732382
2.9,0.0035415808,0.042271313,0.26212039
3,0.0034420261,0.055728609,0.3419003
3.1,0.011452171,0.07215454,0.43763959
3.2,0.018879629,0.09435348,0.55103329
3.3,0.022448898,0.12347827,0.68146299
3.4,0.027224436,0.15917418,0.83891399
3.5,0.033787209,0.20144514,1.0254567
3.6,0.042278201,0.25002799,1.2373746
3.7,0.052816589,0.30560817,1.4748246
3.8,0.067133822,0.37751602,1.7412859
3.9,0.084883428,0.46367974,2.0377802
4,0.10491743,0.55832787,2.3688857
4.1,0.12863075,0.66393366,2.7367457
4.2,0.15813603,0.78245921,3.1490123
4.3,0.19325556,0.91718463,3.6007841
4.4,0.2346193,1.0719645,4.0850605
4.5,0.28116692,1.2466455,4.6158741
4.6,0.33178637,1.4409277,5.2025325
4.7,0.39072005,1.6593926,5.8335284
4.8,0.45864845,1.9028457,6.5051283
4.9,0.53829114,2.1758335,7.229324
5,0.63009365,2.4786844,8.0072757
5.1,0.74087425,2.804277,8.8394906
5.2,0.86824549,3.1547988,9.7263654
5.3,1.0000165,3.5418599,10.671805
5.4,1.1427308,3.9646902,11.674909
5.5,1.30727,4.4252167,12.733201
5.6,1.4929415,4.9240533,13.850261
5.7,1.7028377,5.4623493,15.029978
5.8,1.933168,6.0413565,16.275836
5.9,2.1797593,6.6603502,17.593737
6,2.4549671,7.3280996,18.974799
6.1,2.762395,8.048465,20.41403
6.2,3.1005776,8.8157588,21.923908
6.3,3.4695496,9.6289784,23.507074
6.4,3.8614844,10.50009,25.156788
6.5,4.278801,11.428807,26.873034
6.6,4.7380776,12.409678,28.660846
6.7,5.239249,13.445498,30.519759
6.8,5.7903486,14.544598,32.448929
6.9,6.384253,15.706855,34.449262
7,7.0094702,16.934043,36.523306
7.1,7.6785528,18.228866,38.668835
7.2,8.3982934,19.595315,40.883252
7.3,9.1717054,21.029576,43.169559
7.4,10.001237,22.528776,45.530479
7.5,10.884419,24.102228,47.959593
7.6,11.820515,25.751605,50.454501
7.7,12.819963,27.482664,53.020724
7.8,13.882875,29.295437,55.658883
7.9,15.006704,31.173809,58.365621
8,16.193487,33.120796,61.140817
8.1,17.451025,35.148202,63.982715
8.2,18.778437,37.255824,66.891372
8.3,20.17412,39.446342,69.868487
8.4,21.646814,41.722685,72.907903
8.5,23.207242,44.091644,75.998391
8.6,24.846003,46.545666,79.145908
8.7,26.557636,49.081843,82.35548
8.8,28.35514,51.695929,85.618022
8.9,30.242124,54.382493,88.929316
9,32.207582,57.173468,92.295566
9.1,34.251423,60.07377,95.720006
9.2,36.397826,63.046365,99.172091
9.3,38.643964,66.09301,
9.4,40.979391,69.232381,
9.5,43.406331,72.458739,
9.6,45.926642,75.754846,
9.7,48.54152,79.132778,
9.8,51.253196,82.618008,
9.9,54.061153,86.175244,
10,56.967359,89.762393,
10.1,59.962504,93.451278,
10.2,63.040669,97.28384,
10.3,66.227161,,
10.4,69.525376,,
10.5,72.917987,,
10.6,76.408565,,
10.7,80.041898,,
10.8,83.785547,,
10.9,87.522398,,
11,91.33556,,
11.1,95.350259,,
11.2,99.469744,,
11.3,,,
11.4,,,
11.5,,,
11.6,,,
11.7,,,
11.8,,,
11.9,,,
12,,,
12.1,,,
12.2,,,
12.3,,,
12.4,,,
12.5,,,
12.6,,,
12.7,,,
12.8,,,
12.9,,,
13,,,
13.1,,,
13.2,,,
13.3,,,
13.4,,,
13.5,,,
13.6,,,
13.7,,,
13.8,,,
13.9,,,
14,,,
