Tj_C,Vth_V
-50,3.1143771
-49,3.1000363
-48,3.0926569
-47,3.0848576
-46,3.0774765
-45,3.070097
-44,3.0627176
-43,3.0553365
-42,3.047957
-41,3.0348314
-40,3.0331981
-39,3.0231559
-38,3.0171914
-37,3.003677
-36,3.003677
-35,2.9895086
-34,2.9833086
-33,2.9774449
-32,2.9716496
-31,2.9593987
-30,2.9591851
-29,2.9446782
-28,2.9446381
-27,2.9372587
-26,2.9298792
-25,2.9224981
-24,2.9151186
-23,2.9077392
-22,2.9003581
-21,2.8929786
-20,2.8876527
-19,2.881825
-18,2.8782197
-17,2.8708386
-16,2.8634592
-15,2.8560797
-14,2.8495915
-13,2.8435192
-12,2.8413192
-11,2.8339397
-10,2.8265603
-9,2.8191792
-8,2.8191792
-7,2.8117997
-6,2.8044203
-5,2.7970408
-4,2.7970408
-3,2.7896597
-2,2.7822803
-1,2.7791469
0,2.7749008
1,2.7675197
2,2.7642236
3,2.7596355
4,2.7527608
5,2.7453814
6,2.7453814
7,2.7380002
8,2.7332727
9,2.7306208
10,2.7232413
11,2.7186719
12,2.7158602
13,2.7084808
14,2.7084808
15,2.7011013
16,2.6937219
17,2.6937219
18,2.6863408
19,2.6863408
20,2.6789613
21,2.6789613
22,2.6715819
23,2.665698
24,2.6642008
25,2.6568213
26,2.6568213
27,2.6494419
28,2.6494419
29,2.6420624
30,2.6393928
31,2.6346813
32,2.6344024
33,2.6273019
34,2.6273019
35,2.6199224
36,2.6158202
37,2.6125413
38,2.6114097
39,2.6051619
40,2.6051619
41,2.5977824
42,2.5977824
43,2.590403
44,2.590403
45,2.5830219
46,2.5830219
47,2.5757113
48,2.5756424
49,2.5756424
50,2.568263
51,2.568263
52,2.5608835
53,2.5608835
54,2.5535024
55,2.5535024
56,2.5483146
57,2.5461229
58,2.5461229
59,2.5387435
60,2.5387435
61,2.5387435
62,2.5313624
63,2.5313624
64,2.5239829
65,2.5239829
66,2.5237963
67,2.5166035
68,2.5166035
69,2.5103358
70,2.509224
71,2.509224
72,2.5018429
73,2.5018429
74,2.5018379
75,2.4944635
76,2.4944635
77,2.4897279
78,2.487084
79,2.487084
80,2.4797029
81,2.4797029
82,2.4797029
83,2.4723235
84,2.4723235
85,2.4723235
86,2.464944
87,2.464944
88,2.464944
89,2.4575646
90,2.4575646
91,2.4575646
92,2.4501835
93,2.4501835
94,2.4501835
95,2.442804
96,2.442804
97,2.4370438
98,2.4354246
99,2.4354246
100,2.4303139
101,2.4280435
102,2.4280435
103,2.421245
104,2.420664
105,2.420664
106,2.4181403
107,2.4132846
108,2.4132846
109,2.4059424
110,2.4059051
111,2.4059051
112,2.4019538
113,2.398524
114,2.398524
115,2.3911446
116,2.3911446
117,2.3911446
118,2.3837651
119,2.3837651
120,2.3837651
121,2.3763857
122,2.3763857
123,2.3763857
124,2.3690045
125,2.3690045
126,2.3690045
127,2.3616251
128,2.3616251
129,2.3542457
130,2.3542457
131,2.3542457
132,2.3491972
133,2.3468645
134,2.3468645
135,2.3394851
136,2.3394851
137,2.3394851
138,2.3321056
139,2.3321056
140,2.3247262
141,2.3247262
142,2.3247262
143,2.3173451
144,2.3173451
145,2.3111914
146,2.3099656
147,2.3099656
148,2.3025862
149,2.3025862
150,2.2952051
