Qg_nC,VGS_V
0,
1,-4.6360471
2,-4.2714845
3,-3.9066375
4,-3.5418299
5,-3.1773856
6,-2.8136286
7,-2.4508825
8,-2.0894713
9,-1.7297189
10,-1.3719491
11,-1.0164857
12,-0.66365271
13,-0.31377388
14,0.032826907
15,0.37582578
16,0.71489889
17,1.0497224
18,1.3799724
19,1.705325
20,2.0254565
21,2.3400428
22,2.6487603
23,2.9512849
24,3.247293
25,3.5364605
26,3.8184636
27,4.0929785
28,4.3596814
29,4.6182483
30,4.8683554
31,5.1096788
32,5.3418947
33,5.5646792
34,5.7777085
35,5.9806587
36,6.1732059
37,6.3550263
38,6.525796
39,6.6851912
40,6.832888
41,6.9685625
42,7.0918909
43,7.2025493
44,7.3002138
45,7.3845607
46,7.4552693
47,7.5182195
48,7.5789995
49,7.6376678
50,7.6942826
51,7.7489021
52,7.8015846
53,7.8523884
54,7.9013718
55,7.9485931
56,7.9941105
57,8.0379823
58,8.0802668
59,8.1210222
60,8.1603068
61,8.198179
62,8.2346969
63,8.2699189
64,8.3039032
65,8.3367081
66,8.3683919
67,8.3990129
68,8.4286293
69,8.4572994
70,8.4850814
71,8.5120338
72,8.5382146
73,8.5636823
74,8.588495
75,8.6127111
76,8.6363888
77,8.6595865
78,8.6823623
79,8.7047746
80,8.7268816
81,8.7487416
82,8.7704129
83,8.7919537
84,8.8134224
85,8.8348772
86,8.8563764
87,8.8779782
88,8.899741
89,8.921723
90,8.9439825
91,8.9665777
92,8.9895669
93,9.0130085
94,9.0369607
95,9.0614817
96,9.0866298
97,9.1124634
98,9.1390406
99,9.1664198
100,9.1946593
101,9.2238172
102,9.253952
103,9.2851218
104,9.3173849
105,9.3507997
106,9.3854243
107,9.4213171
108,9.4585364
109,9.4971403
110,9.5371873
111,9.5787355
112,9.6218432
113,9.6665688
114,9.7129704
115,9.7611064
116,9.8110351
117,9.8628147
118,9.916601
119,9.9729936
120,10.032062
121,10.093779
122,10.158117
123,10.225049
124,10.294547
125,10.366582
126,10.441129
127,10.518159
128,10.597645
129,10.67956
130,10.763875
131,10.850563
132,10.939598
133,11.03095
134,11.124593
135,11.2205
136,11.318642
137,11.418992
138,11.521523
139,11.626208
140,11.733017
141,11.841925
142,11.952904
143,12.065925
144,12.180962
145,12.297987
146,12.416973
147,12.537892
148,12.660716
149,12.785418
150,12.91197
151,13.040346
152,13.170516
153,13.302455
154,13.436134
155,13.571526
156,13.708603
157,13.847338
158,13.987703
159,14.129671
160,14.273214
161,14.418305
162,14.564916
163,14.71302
164,14.862589
165,15.013595
166,15.166012
167,15.319811
168,15.474966
169,15.631448
170,15.78923
171,15.948284
172,16.108584
173,16.270101
174,16.432808
175,16.596677
176,16.761682
177,16.927793
178,17.094985
179,17.263229
180,17.432498
181,17.602764
182,17.774
183,17.946179
184,18.119272
185,18.293252
186,18.468092
187,18.643764
188,18.820241
189,18.997496
190,19.175499
191,19.354225
192,19.533646
193,19.713734
194,19.894461
195,
196,
197,
198,
199,
200,
