VDS_V,Eoss_uJ
0,
5,0.02589244
10,0.096020177
15,0.18230619
20,0.27892051
25,0.39055949
30,0.51608464
35,0.65439615
40,0.80456827
45,0.96591448
50,1.1377206
55,1.3195847
60,1.5109706
65,1.7115164
70,1.9209568
75,2.1389661
80,2.3652409
85,2.5995736
90,2.8417543
95,3.0915513
100,3.3486468
105,3.6130582
110,3.8845738
115,4.1628184
120,4.4479281
125,4.7397295
130,5.0379427
135,5.3427003
140,5.6535204
145,5.9707902
150,6.2938659
155,6.623196
160,6.9582783
165,7.299264
170,7.646028
175,7.9982573
180,8.3564193
185,8.7197353
190,9.0887193
195,9.4631375
200,9.8425989
205,10.227678
210,10.617735
215,11.012767
220,11.413299
225,11.818645
230,12.22875
235,12.644128
240,13.064446
245,13.489234
250,13.919
255,14.353943
260,14.793203
265,15.23705
270,15.685896
275,16.139517
280,16.597286
285,17.059596
290,17.526801
295,17.998572
300,18.474347
305,18.954493
310,19.439326
315,19.928838
320,20.42221
325,20.919678
330,21.421555
335,21.928111
340,22.438807
345,22.953242
350,23.471744
355,23.994602
360,24.522058
365,25.053462
370,25.588514
375,26.127504
380,26.670685
385,27.218282
390,27.770046
395,28.325276
400,28.884206
405,29.447077
410,30.014102
415,30.585453
420,31.160442
425,31.738819
430,32.320835
435,32.906717
440,33.496668
445,34.090859
450,34.688651
455,35.2897
460,35.894252
465,36.502524
470,37.114712
475,37.730995
480,38.3513
485,38.974779
490,39.601535
495,40.23178
500,40.865711
505,41.503507
510,42.145331
515,42.791102
520,43.439953
525,44.091981
530,44.747399
535,45.406405
540,46.069179
545,46.735887
550,47.406674
555,48.08087
560,48.757966
565,49.438244
570,50.121965
575,50.809371
580,51.500687
585,52.196123
590,52.895875
595,53.599064
600,54.304938
605,55.013923
610,55.726421
615,56.442814
620,57.16346
625,57.888697
630,58.61884
635,59.354034
640,60.092521
645,60.834104
650,61.579268
655,62.328476
660,63.082162
665,63.84074
670,64.6046
675,65.37411
680,66.14961
685,66.929829
690,67.713658
695,68.501523
700,69.293821
705,70.090931
710,70.89321
715,71.700998
720,72.514615
725,73.334363
730,74.160515
735,74.991851
740,75.827355
745,76.66736
750,77.512168
755,78.362069
760,79.217339
765,80.07824
770,80.945021
775,81.817914
780,82.697143
785,83.582778
790,84.473266
795,85.368261
800,86.268026
805,87.172802
810,88.08282
815,88.998299
820,89.919448
825,90.846462
830,91.779529
835,92.718825
840,93.664535
845,94.615959
850,95.571856
855,96.532402
860,97.497823
865,98.468334
870,99.444141
875,100.42544
880,101.41242
885,102.40525
890,103.40412
895,104.40917
900,105.42056
905,106.43817
910,107.46045
915,108.48727
920,109.51884
925,110.55539
930,111.59709
935,112.64415
940,113.69674
945,114.75505
950,115.81922
955,116.88942
960,117.96581
965,119.04852
970,120.1376
975,121.23172
980,122.33029
985,123.43352
990,124.54163
995,125.65479
1000,126.77319
1005,127.89701
1010,129.02641
1015,130.16155
1020,131.30259
1025,132.44967
1030,133.60293
1035,134.76251
1040,135.92854
1045,137.10002
1050,138.27593
1055,139.45644
1060,140.64175
1065,141.83202
1070,143.02744
1075,144.22817
1080,145.43436
1085,146.64617
1090,147.86374
1095,149.08723
1100,150.31675
1105,151.55244
1110,152.79442
1115,154.04272
1120,155.29927
1125,156.56652
1130,157.84224
1135,159.12465
1140,160.41253
1145,161.70494
1150,163.00117
1155,164.30062
1160,165.60281
1165,166.90731
1170,168.2137
1175,169.52156
1180,170.83043
1185,172.13967
1190,173.44833
1195,174.75449
1200,
