VDS_V,Ciss_pF,Coss_pF,Crss_pF
0,,,
1,,,
2,3883.289,3161.5204,1082.3286
3,3732.1208,2800.8666,854.73905
4,3636.9413,2546.2953,710.29243
5,3571.7842,2348.7962,608.68723
6,3520.2309,2185.8277,527.60266
7,3477.929,2046.503,459.41262
8,3442.4185,1926.396,402.26555
9,3412.0821,1818.8827,351.0082
10,3381.6293,1719.1735,300.88162
11,3348.9095,1621.062,247.15088
12,3276.2319,1423.5994,110.96997
13,3249.401,1308.8938,54.401531
14,3243.636,1254.1952,40.871894
15,3239.9815,1210.7076,33.052829
16,3238.368,1173.3381,27.8697
17,3235.7581,1140.4877,24.141558
18,3234.3498,1111.4537,21.510051
19,3233.3706,1085.0185,19.491605
20,3232.4996,1060.7021,17.883794
21,3231.5432,1038.2428,16.580091
22,3229.9016,1017.4689,15.547492
23,3228.6892,998.1039,14.691693
24,3228.4457,979.94824,13.959418
25,3228.2202,962.8809,13.337744
26,3227.913,946.76097,12.804885
27,3227.0033,931.40337,12.333973
28,3226.0819,916.83885,11.930019
29,3226.0085,903.15325,11.603752
30,3225.9752,890.11485,11.328422
31,3225.0783,877.49806,11.086752
32,3223.9535,865.38138,10.874058
33,3223.4072,853.88228,10.676478
34,3223.1871,842.90429,10.495475
35,3222.8189,832.34337,10.343746
36,3222.2283,822.15311,10.223106
37,3221.6729,812.34386,10.114917
38,3221.3479,802.90787,10.005135
39,3221.1474,793.80782,9.8994617
40,3220.9297,785.02959,9.8062081
41,3220.7024,776.53217,9.7276271
42,3220.4487,768.31599,9.6589813
43,3220.0895,760.40413,9.5965968
44,3219.5837,752.7978,9.5414145
45,3219.0089,745.44317,9.4912783
46,3218.4585,738.28282,9.4415825
47,3217.944,731.27616,9.3888213
48,3217.4389,724.4372,9.3361
49,3217.005,717.79986,9.2887197
50,3216.7052,711.37953,9.250416
51,3216.5292,705.14225,9.2191648
52,3216.3829,699.084,9.1923376
53,3216.1817,693.20373,9.1677333
54,3215.9157,687.49975,9.1453511
55,3215.6108,681.95383,9.1256389
56,3215.2995,676.54676,9.1073037
57,3215.0111,671.2614,9.0891925
58,3214.746,666.08533,9.0706586
59,3214.487,661.02017,9.0524721
60,3214.2433,656.07313,9.0356577
61,3214.0232,651.24992,9.021126
62,3213.8447,646.54072,9.0092429
63,3213.7112,641.93325,8.9993265
64,3213.5759,637.4337,8.9908473
65,3213.3957,633.04732,8.9833266
66,3213.1332,628.77995,8.9764081
67,3212.7749,624.62959,8.9703787
68,3212.369,620.57821,8.9651911
69,3211.9714,616.60938,8.9606924
70,3211.633,612.70815,8.9567407
71,3211.3891,608.86193,8.953098
72,3211.2225,605.07101,8.9495204
73,3211.0949,601.34268,8.9464303
74,3210.9685,597.68338,8.9442614
75,3210.8084,594.09861,8.9434127
76,3210.5894,590.59274,8.9443834
