IDS_A,Eon_mJ,Eoff_mJ,Etotal_mJ
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,0.24650875,0.059500903,0.29852597
12,0.259992,0.06095067,0.31347696
13,0.27288548,0.06204804,0.32748596
14,0.2854583,0.062954139,0.34098281
15,0.29797997,0.063829694,0.35439794
16,0.31071899,0.064835033,0.36816021
17,0.32394276,0.066130407,0.38269682
18,0.33792388,0.067878069,0.39844301
19,0.35293663,0.070241954,0.41583689
20,0.36925977,0.073389642,0.43532408
21,0.38717817,0.077489352,0.45735853
22,0.40674273,0.082510407,0.48196
23,0.42769891,0.088269761,0.50869127
24,0.4498598,0.094695519,0.53729354
25,0.47303998,0.10171674,0.56751028
26,0.49704868,0.10925959,0.59907692
27,0.52169547,0.11725086,0.63172975
28,0.54678829,0.12561667,0.66520277
29,0.57213125,0.13428154,0.69922459
30,0.59752946,0.14317062,0.73352539
31,0.62278361,0.15220692,0.76782885
32,0.64820848,0.16125761,0.80231633
33,0.67418124,0.17033021,0.83737452
34,0.70060596,0.17956102,0.87304323
35,0.72738647,0.18908624,0.9093618
36,0.75442319,0.19904497,0.94636923
37,0.78161689,0.20957501,0.98410327
38,0.80886602,0.22081522,1.0226009
39,0.83606965,0.23290292,1.0618975
40,0.86312637,0.24597425,1.1020274
41,0.88991998,0.26016436,1.143009
42,0.91594433,0.27557149,1.1844323
43,0.94119599,0.29208547,1.2261854
44,0.96603798,0.30955085,1.268476
45,0.99082821,0.3278153,1.3115113
46,1.0159198,0.34673345,1.3555
47,1.0416736,0.3661606,1.4006592
48,1.0684593,0.38595263,1.4472159
49,1.0966602,0.40596466,1.4954092
50,1.126683,0.42604645,1.5454971
51,1.1589406,0.44607796,1.5977732
52,1.1934265,0.4663888,1.6525599
53,1.2298478,0.48709045,1.7096748
54,1.2679061,0.50815641,1.7687926
55,1.3072825,0.52955741,1.8295647
56,1.3476366,0.55126057,1.8916174
57,1.388614,0.57323005,1.9545599
58,1.4298556,0.59542808,2.0179949
59,1.4709976,0.6178148,2.0815183
60,1.5116833,0.64034953,2.1447321
61,1.5521758,0.66308033,2.2079474
62,1.5930196,0.68607838,2.2717809
63,1.6341837,0.70932372,2.3361817
64,1.6756335,0.73279625,2.4010952
65,1.7173348,0.75647642,2.4664677
66,1.7592538,0.78034492,2.532246
67,1.8013576,0.804383,2.5983785
68,1.8436126,0.82857182,2.6648129
69,1.885986,0.85289299,2.731498
70,1.9284852,0.87736022,2.7984544
71,1.9712767,0.90210648,2.8659811
72,2.0143349,0.92710365,2.9340249
73,2.0576038,0.95229905,3.0024774
74,2.1010269,0.9776395,3.0712289
75,2.1445469,1.0030711,3.1401683
76,2.1881067,1.0285401,3.2091851
77,2.2316485,1.0539922,3.2781673
78,2.2751153,1.0793738,3.3470042
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
