Rg_ext_Ohm,Eon_mJ,Eoff_mJ,Etotal_mJ
0,,,
0.25,,,
0.5,,,
0.75,,,
1,,,
1.25,,,
1.5,,,
1.75,,,
2,,,
2.25,,,
2.5,0.79525569,0.61964606,2.3183308
2.75,0.81739197,0.63822496,2.349954
3,0.83952825,0.65680387,2.3815771
3.25,0.86166453,0.67538277,2.4132002
3.5,0.88380081,0.69396168,2.4448233
3.75,0.90593708,0.71254058,2.4764464
4,0.92807336,0.73111949,2.5080695
4.25,0.95020964,0.74969839,2.5396926
4.5,0.97234592,0.7682773,2.5713157
4.75,0.9944822,0.7868562,2.6029388
5,1.0166185,0.80543511,2.6345619
5.25,1.0387548,0.82401401,2.666185
5.5,1.060891,0.84259292,2.6978082
5.75,1.0830273,0.86117182,2.7294313
6,1.1051636,0.87975073,2.7610544
6.25,1.1272999,0.89832963,2.7926775
6.5,1.1494362,0.91690854,2.8243006
6.75,1.1715724,0.93548744,2.8559237
7,1.1937087,0.95406635,2.8875468
7.25,1.215845,0.97264525,2.9191699
7.5,1.2379813,0.99122416,2.950793
7.75,1.2601175,1.0098031,2.9824161
8,1.2822538,1.028382,3.0140392
8.25,1.3043901,1.0469609,3.0456624
8.5,1.3265264,1.0655398,3.0772855
8.75,1.3486627,1.0841187,3.1089086
9,1.3707989,1.1026976,3.1405317
9.25,1.3929352,1.1212765,3.1721548
9.5,1.4150715,1.1398554,3.2037779
9.75,1.4372078,1.1584343,3.235401
10,1.4593441,1.1770132,3.2670241
10.25,1.4814803,1.1955921,3.2986472
10.5,1.5036166,1.214171,3.3302703
10.75,1.5257529,1.2327499,3.3618934
11,1.5478892,1.2513288,3.3935166
11.25,1.5700255,1.2699077,3.4251397
11.5,1.5921617,1.2884866,3.4567628
11.75,1.614298,1.3070655,3.4883859
12,1.6364343,1.3256444,3.520009
12.25,1.6585706,1.3442233,3.5516321
12.5,1.6807069,1.3628023,3.5832552
12.75,1.7028431,1.3813812,3.6148783
13,1.7249794,1.3999601,3.6465014
13.25,1.7471157,1.418539,3.6781245
13.5,1.769252,1.4371179,3.7097477
13.75,1.7913882,1.4556968,3.7413708
14,1.8135245,1.4742757,3.7729939
14.25,1.8356608,1.4928546,3.804617
14.5,1.8577971,1.5114335,3.8362401
14.75,1.8799334,1.5300124,3.8678632
15,1.9020696,1.5485913,3.8994863
15.25,1.9242059,1.5671702,3.9311094
15.5,1.9463422,1.5857491,3.9627325
15.75,1.9684785,1.604328,3.9943556
16,1.9906148,1.6229069,4.0259787
16.25,2.012751,1.6414858,4.0576019
16.5,2.0348873,1.6600647,4.089225
16.75,2.0570236,1.6786436,4.1208481
17,2.0791599,1.6972225,4.1524712
17.25,2.1012962,1.7158014,4.1840943
17.5,2.1234324,1.7343804,4.2157174
17.75,2.1455687,1.7529593,4.2473405
18,2.167705,1.7715382,4.2789636
18.25,2.1898413,1.7901171,4.3105867
18.5,2.2119775,1.808696,4.3422098
18.75,2.2341138,1.8272749,4.3738329
19,2.2562501,1.8458538,4.4054561
19.25,2.2783864,1.8644327,4.4370792
19.5,2.3005227,1.8830116,4.4687023
19.75,2.3226589,1.9015905,4.5003254
20,,,
20.25,,,
20.5,,,
20.75,,,
21,,,
21.25,,,
21.5,,,
21.75,,,
22,,,
22.25,,,
22.5,,,
22.75,,,
23,,,
23.25,,,
23.5,,,
23.75,,,
24,,,
24.25,,,
24.5,,,
24.75,,,
25,,,
