Tj_C,Eon_body_mJ,Eoff_body_mJ,Etotal_body_mJ,Eon_schottky_mJ,Eoff_schottky_mJ,Etotal_schottky_mJ
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,1.6978816,0.59791054,2.2957955,1.2213301,0.68269251,1.907713
26,1.7005478,0.598653,2.299214,1.220734,0.68362611,1.9080162
27,1.7031896,0.59939135,2.302604,1.2201424,0.68455761,1.9083216
28,1.7058062,0.60012543,2.3059646,1.2195556,0.6854869,1.9086293
29,1.708401,0.60085583,2.3092996,1.2189729,0.68641424,1.9089391
30,1.7109763,0.60158295,2.3126119,1.218394,0.68733989,1.9092506
31,1.7135332,0.60230695,2.3159027,1.2178186,0.68826389,1.9095639
32,1.7160747,0.60302836,2.3191755,1.217246,0.68918656,1.9098786
33,1.718601,0.60374718,2.3224304,1.2166765,0.69010785,1.9101948
34,1.7211153,0.60446399,2.3256714,1.2161091,0.6910281,1.910512
35,1.7236174,0.60517873,2.3288981,1.2155442,0.69194727,1.9108304
36,1.7261105,0.60589195,2.3321143,1.2149809,0.69286563,1.9111496
37,1.7285944,0.60660363,2.3353198,1.2144194,0.69378319,1.9114697
38,1.7310718,0.6073142,2.3385176,1.2138592,0.69470014,1.9117904
39,1.7335433,0.60802377,2.3417085,1.2133001,0.69561659,1.9121116
40,1.7360103,0.60873258,2.3448942,1.2127419,0.6965326,1.9124333
41,1.7384746,0.60944095,2.3480767,1.2121841,0.6974484,1.9127552
42,1.7409365,0.6101489,2.3512564,1.2116269,0.69836395,1.9130774
43,1.7433987,0.6108569,2.3544365,1.2110697,0.69927951,1.9133995
44,1.7458608,0.61156488,2.3576164,1.2105125,0.70019505,1.9137217
45,1.7483257,0.61227334,2.3607996,1.2099549,0.70111081,1.9140437
46,1.7507932,0.61298224,2.3639858,1.2093967,0.7020268,1.9143654
47,1.7532657,0.61369199,2.367178,1.2088377,0.70294318,1.9146867
48,1.755744,0.6144027,2.3703768,1.2082776,0.70386008,1.9150074
49,1.7582294,0.61511463,2.373584,1.2077162,0.70477756,1.9153275
50,1.7607239,0.61582809,2.3768018,1.2071531,0.70569583,1.9156468
51,1.7632278,0.61654314,2.3800307,1.2065883,0.70661489,1.9159653
52,1.7657442,0.61726029,2.383274,1.2060212,0.70753502,1.9162826
53,1.7682727,0.61797949,2.3865316,1.2054518,0.70845619,1.9165989
54,1.7708169,0.61870134,2.3898075,1.2048796,0.70937869,1.9169137
55,1.7733766,0.6194258,2.3931014,1.2043044,0.71030254,1.9172271
