Rg_ext_Ohm,td_on_ns,tr_ns,td_off_ns,tf_ns
0,,,,
0.25,,,,
0.5,,,,
0.75,,,,
1,,,,
1.25,,,,
1.5,,,,
1.75,,,,
2,,,,
2.25,,,,
2.5,15.353546,57.58148,32.798211,16.829214
2.75,15.648732,58.423712,34.518225,17.419619
3,15.943951,59.197585,35.93967,18.252579
3.25,16.239137,59.942423,37.5335,18.895649
3.5,16.239137,60.811191,39.10788,19.486055
3.75,16.534357,61.615176,40.679773,20.28666
4,16.829543,62.290794,42.216911,20.962085
4.25,17.124762,63.176419,43.705436,21.55249
4.5,17.419948,63.875483,45.0913,22.142896
4.75,17.561363,64.652416,46.800403,22.874907
5,17.715135,65.53804,48.166468,23.35349
5.25,18.010354,66.128446,49.863816,24.202115
5.5,18.30554,67.014038,51.304456,24.764765
5.75,18.600759,67.678139,52.947419,25.390142
6,18.895945,68.491169,54.473243,25.980547
6.25,19.191165,69.359047,56.044483,26.570953
6.5,19.486351,69.966032,57.567419,27.161358
6.75,19.508481,70.851656,59.073968,27.751764
7,19.781537,71.569514,60.649724,28.342169
7.25,20.076756,72.327654,62.183195,28.932575
7.5,20.371943,73.213245,63.817979,29.52298
7.75,20.667162,73.803697,65.245338,30.113385
8,20.962348,74.669032,66.718687,30.647274
8.25,21.257567,75.32211,68.3077,31.041879
8.5,21.552753,76.165272,69.838112,31.589416
8.75,21.84794,77.032451,71.414429,32.179821
9,22.143159,77.64127,72.91796,32.770226
9.25,22.438345,78.283982,74.431265,33.360632
9.5,22.733564,79.1173,76.014725,33.800647
9.75,23.028751,79.934807,77.588298,34.246256
10,23.32397,80.593297,79.183472,34.836662
10.25,23.619156,81.478921,80.758849,35.427067
10.5,23.914342,82.069294,82.347266,35.992856
10.75,24.209561,82.954918,83.840444,36.312692
11,24.504748,83.545324,85.358984,36.903097
11.25,24.799967,84.428721,86.792472,37.491627
11.5,25.095153,85.021321,88.478583,37.788689
11.75,25.423621,85.702918,89.811182,38.379127
12,25.846193,86.497318,91.54078,38.969533
12.25,26.264561,87.349345,92.954755,39.527599
12.5,26.57115,87.973348,94.604085,39.855124
12.75,26.866369,88.747515,96.121094,40.44553
13,27.161556,89.449345,97.7005,41.031208
13.25,27.456775,90.039751,99.190953,41.331155
13.5,27.751961,90.925342,100.72488,41.92156
13.75,28.04718,91.517959,102.29848,42.373026
14,28.342367,92.386495,103.87269,42.807185
14.25,28.932772,92.991745,105.46676,43.39759
14.5,29.227958,93.760488,107.03978,43.872112
14.75,29.523177,94.467775,108.6148,44.283182
15,29.818364,95.13286,110.20745,44.873587
15.25,30.11355,95.943772,111.70282,45.464025
15.5,30.703955,96.534178,113.36068,45.759876
15.75,30.999175,97.36755,114.76784,46.349617
16,31.294361,98.010175,116.38533,46.940023
16.25,31.58958,98.619049,117.837,47.255129
16.5,31.884766,99.481007,119.53048,47.825647
16.75,32.475172,100.07658,120.90096,48.416053
17,32.770358,100.72445,122.60258,48.910316
17.25,33.065577,101.55259,123.9875,49.301677
17.5,33.45613,102.14301,125.66696,49.892083
17.75,33.951169,102.95679,127.14429,50.482488
18,34.246355,103.61901,128.74091,51.072894
18.25,34.541574,104.20942,130.4661,51.36808
18.5,35.005409,104.96671,131.79223,51.958485
18.75,35.427166,105.68541,133.52556,52.548891
19,35.722385,106.27582,134.90449,53.139329
19.25,36.107324,106.95517,136.58015,53.729734
19.5,36.607977,107.75182,138.06304,54.244143
19.75,36.903163,108.34473,139.65522,54.623924
20,37.198382,108.93263,141.10971,55.205764
20.25,,,,
20.5,,,,
20.75,,,,
21,,,,
21.25,,,,
21.5,,,,
21.75,,,,
22,,,,
22.25,,,,
22.5,,,,
22.75,,,,
23,,,,
23.25,,,,
23.5,,,,
23.75,,,,
24,,,,
24.25,,,,
24.5,,,,
24.75,,,,
25,,,,
